iter	RMSE
176	0.1891028848
177	0.1889618357
178	0.1887893562
179	0.1886095458
180	0.1884709803
181	0.1883606779
182	0.1882080292
183	0.1880257728
184	0.1878658194
185	0.1876732113
186	0.187508088
187	0.1873579316
188	0.1871578292
189	0.1869759125
190	0.1868110843
191	0.1867277973
192	0.1865737973
193	0.1864378173
194	0.1863435901
195	0.1862012659
196	0.1860964296
197	0.1859821331
198	0.1858674094
199	0.1857128987
200	0.1855505731
201	0.1853633211
202	0.1852236032
203	0.185053169
204	0.1849163684
205	0.1847940847
206	0.1846038226
207	0.18438473
208	0.1842489211
209	0.1841627888
210	0.1840146089
211	0.1838561207
212	0.1837505766
213	0.1836022802
214	0.1834277546
215	0.1832569009
216	0.1831342685
217	0.1830502747
218	0.1829027982
219	0.1827523462
220	0.182641976
221	0.1824868724
222	0.1823719025
223	0.182199524
224	0.1821095052
225	0.1820033723
226	0.1818728921
227	0.1817584713
228	0.1816436601
229	0.1814899961
230	0.1813837779
231	0.1812560536
232	0.1810726403
233	0.1809627986
234	0.1808340114
235	0.1807586118
236	0.1806720357
237	0.1805244502
238	0.1804060931
239	0.1802879626
240	0.1801689998
241	0.1799875328
242	0.1798532069
243	0.1797644198
244	0.1796535305
245	0.1795490861
246	0.1794144058
247	0.1793045058
248	0.1792192178
249	0.1791358519
250	0.1790422807
251	0.1789153311
252	0.1788123135
253	0.1786875988
254	0.1785973828
255	0.1784762749
256	0.178371717
257	0.1782608572
258	0.1781100285
259	0.1779865567
260	0.177917176
261	0.1777629222
262	0.1776580568
263	0.1775488471
264	0.1774129969
265	0.1772817399
266	0.1771282903
267	0.1770596344
268	0.1769290185
269	0.1768370253
270	0.1767611368
271	0.1766057413
272	0.1764813952
273	0.1763725709
274	0.1762733716
275	0.1761814068
276	0.1760847441
277	0.1759746885
278	0.1758836171
279	0.1758086647
280	0.1756967709
281	0.1755829903
282	0.175479731
283	0.1753472339
284	0.1752722481
285	0.1751695342
286	0.1751082558
287	0.1750278299
288	0.1749484632
289	0.1748879006
290	0.1748024762
291	0.1747346206
292	0.1746521751
293	0.1745357975
294	0.1744412717
295	0.1743836284
296	0.1743112178
297	0.1742035536
298	0.17410363
299	0.1739822516
300	0.1738915102
301	0.1738156676
302	0.1737174086
303	0.1735642687
304	0.1734760707
305	0.1733793743
306	0.1733297419
307	0.1732342279
308	0.1731291721
309	0.1730547396
310	0.1729762261
311	0.1728679402
312	0.1727298978
313	0.1726323194
314	0.1725465965
315	0.1724752492
316	0.1724016651
317	0.1723284977
318	0.1722550681
319	0.1721837258
320	0.1721029159
321	0.1719851575
322	0.1718889623
323	0.1717965602
324	0.1717183619
325	0.1716409376
326	0.1714989608
327	0.1714003996
328	0.171320958
329	0.1711039544
330	0.1710479908
331	0.1709468386
332	0.1708798684
333	0.1707727837
334	0.1706681518
335	0.1705914717
336	0.1704700444
337	0.1704200843
338	0.1703569097
339	0.17024835
340	0.1701715209
341	0.170087562
342	0.1699923692
343	0.1698966493
344	0.1697972378
345	0.1697267836
346	0.1696353528
347	0.1695668844
348	0.1695025475
349	0.1694303689
350	0.1693786798
351	0.1693299335
352	0.169230174
353	0.1691692947
354	0.1690781428
355	0.1689770653
356	0.1689222457
357	0.1688508393
358	0.1687815461
359	0.1686977757
360	0.1686226435
361	0.1685255383
362	0.1684512962
363	0.1683983598
364	0.1683216322
365	0.1682595889
366	0.1681512301
367	0.168035658
368	0.1679559903
369	0.1678851172
370	0.1678221658
371	0.1677513986
372	0.1676762019
373	0.1675992043
374	0.1675398962
375	0.1674597076
376	0.1673995496
377	0.1672885696
378	0.1672299213
379	0.167149745
380	0.1670863006
381	0.1669987178
382	0.1669040981
383	0.1668630293
384	0.1667982783
385	0.1667295965
386	0.166679557
387	0.1666322895
388	0.1665589957
389	0.1664694253
390	0.1664109402
391	0.1663617232
392	0.1662649153
393	0.1661842318
394	0.1661254428
395	0.1660459478
396	0.1659503384
397	0.1658951779
398	0.165848654
399	0.1658112026
400	0.1657646542
401	0.1656980178
402	0.1656181843
403	0.1655247109
404	0.165462734
405	0.1653809764
406	0.1652686828
407	0.1651774957
408	0.1651117718
409	0.1650452154
410	0.1649626915
411	0.1648361695
412	0.1647776857
413	0.1647262464
414	0.1646645885
415	0.1645637662
416	0.1645015343
417	0.1644267499
418	0.1643232635
419	0.1642682053
420	0.1641781312
421	0.1640414253
422	0.1638843678
423	0.1638364186
424	0.1637654628
425	0.1637118859
426	0.1636431373
427	0.1635534586
428	0.1634554357
429	0.1633959985
430	0.1633073597
431	0.1632265266
432	0.1631725669
433	0.1631225633
434	0.1630053913
435	0.1629327682
436	0.1628663609
437	0.1628004762
438	0.162758492
439	0.1626932802
440	0.1626298919
441	0.1625580871
442	0.162512433
443	0.1624689049
444	0.1624135025
445	0.162357114
446	0.1623036292
447	0.1622501921
448	0.1622021108
449	0.1620909734
450	0.1619937975
451	0.161956562
452	0.1618798254
453	0.1618238868
454	0.1617714739
455	0.1616812872
456	0.1616013617
457	0.1615756999
458	0.1615280944
459	0.1614697997
460	0.1613983847
461	0.1613266669
462	0.1612674927
463	0.1611806905
464	0.1611219516
465	0.1610425667
466	0.1609540237
467	0.1608909084
468	0.1608159591
469	0.1607432581
470	0.1606652818
471	0.1605897135
472	0.1605450866
473	0.1604441959
474	0.1603622202
475	0.1603138743
476	0.1602701449
477	0.1601548768
478	0.1600929974
479	0.16004999
480	0.1599579908
481	0.1599051686
482	0.1598433034
483	0.1597331715
484	0.1596881683
485	0.1596289992
486	0.1595779026
487	0.159530607
488	0.1594804585
489	0.1594072302
490	0.1593250426
491	0.159225242
492	0.1591771493
493	0.1591038176
494	0.1590536697
495	0.1590174649
496	0.158974665
497	0.1588991999
498	0.1588522267
499	0.158796388
500	0.1587098196
501	0.1586564554
502	0.1586137616
503	0.1585402448
504	0.1585066653
505	0.1584607607
506	0.1583972375
507	0.1583490367
508	0.1582941911
509	0.1582500765
510	0.1581769343
511	0.1581043101
512	0.1580570423
513	0.1580079303
514	0.1579679433
515	0.1579125033
516	0.1578518823
517	0.1578111875
518	0.1577466926
519	0.1577058436
520	0.1576444455
521	0.1575675112
522	0.1574993713
523	0.1574241797
524	0.1573752234
525	0.1573333634
526	0.1572955517
527	0.1572230574
528	0.1571509677
529	0.1570669563
530	0.157019135
531	0.1569478457
532	0.156881522
533	0.15684097
534	0.1567939456
535	0.1567413795
536	0.1566736799
537	0.1565988691
538	0.156567573
539	0.1564931639
540	0.1564274585
541	0.1563566712
542	0.1563322697
543	0.1562695165
544	0.1562162693
545	0.1561591368
546	0.1561252148
547	0.156091989
548	0.1560719547
549	0.156019765
550	0.155982986
551	0.1559413918
552	0.1559024941
553	0.1558279625
554	0.1557663503
555	0.1557307308
556	0.1556556582
557	0.1556032137
558	0.1555510406
559	0.1555034694
560	0.155438088
561	0.1553790057
562	0.1553136828
563	0.155272815
564	0.1552236522
565	0.155146241
566	0.1551023932
567	0.1550350992
568	0.1549799225
569	0.1549173247
570	0.15487198
571	0.1548325645
572	0.1547383156
573	0.1546974165
574	0.1546519748
575	0.1545931012
576	0.1545492196
577	0.1545158928
578	0.1544830844
579	0.1543764107
580	0.154324733
581	0.1542813674
582	0.1542214355
583	0.1541649359
584	0.1541260074
585	0.1540548222
586	0.15399738
587	0.1539339123
588	0.1538916406
589	0.1538680124
590	0.1538020052
591	0.1537507103
592	0.1537058799
593	0.1536546303
594	0.1535948938
595	0.1535449779
596	0.1535254206
597	0.1534834426
598	0.1534462214
599	0.1534076217
600	0.1533619015
601	0.1533088309
602	0.1532536726
603	0.1532075671
604	0.153159584
605	0.1531368024
606	0.1530717761
607	0.1530009006
608	0.1529503942
609	0.1528997798
610	0.1528544935
611	0.1527722932
612	0.1527239509
613	0.1526683269
614	0.1526377739
615	0.1526046795
616	0.1525665708
617	0.1525085606
618	0.1524143229
619	0.1523616705
620	0.1523231368
621	0.1522939663
622	0.1522619778
623	0.1522290936
624	0.1521795086
625	0.1521207021
626	0.1520684839
627	0.1520027894
628	0.1519394572
629	0.1518751229
630	0.15182077
631	0.151785239
632	0.1517200233
633	0.1516515667
634	0.1515763118
635	0.1514928976
636	0.1514542663
637	0.1514247828
638	0.1513794764
639	0.1513187259
640	0.1512775779
641	0.1512214907
642	0.1511897615
643	0.1511597264
644	0.1511103191
645	0.1510760696
646	0.1510417524
647	0.1510160377
648	0.1509673808
649	0.1509226669
650	0.1508714611
651	0.1508430269
652	0.1507903254
653	0.150717382
654	0.1506753522
655	0.1506229414
656	0.1505879407
657	0.150543457
658	0.1505032495
659	0.1504501919
660	0.1504109527
661	0.1503532687
662	0.1503072315
663	0.1502548493
664	0.1502146254
665	0.1501774927
666	0.1501277928
667	0.1500761105
668	0.1500152246
669	0.1499615032
670	0.1499229293
671	0.1498770988
672	0.1498309545
673	0.1497774948
674	0.1497253815
675	0.1496697505
676	0.1496079644
677	0.1495465801
678	0.1494912526
679	0.1494556584
680	0.1494033391
681	0.1493795937
682	0.1493292231
683	0.1492580435
684	0.1492318837
685	0.1491878773
686	0.1491393914
687	0.1490809364
688	0.1490472784
689	0.1489959764
690	0.1489524148
691	0.148898823
692	0.1488538469
693	0.1487974939
694	0.1487457955
695	0.1486852832
696	0.1486466164
697	0.1486073153
698	0.1485662673
699	0.1485248067
700	0.1484676069
701	0.1484352411
702	0.148399247
703	0.1483629676
704	0.1483218703
705	0.1482921327
706	0.1482105672
707	0.1481787739
708	0.1481306353
709	0.1480843698
710	0.1480327617
711	0.1479955097
712	0.1479513151
713	0.147921231
714	0.1478818345
715	0.1478609638
716	0.1478154926
717	0.147769615
718	0.1477234816
719	0.1476817592
720	0.1476430092
721	0.1476024488
722	0.1475664025
723	0.147538528
724	0.1474876863
725	0.1474476067
726	0.1473897182
727	0.1473494296
728	0.1473149416
729	0.147275131
730	0.1472305095
731	0.1471743028
732	0.147132649
733	0.1470866613
734	0.1470448145
735	0.1470064607
736	0.1469778478
737	0.1469001916
738	0.146855729
739	0.1468213608
740	0.1467884698
741	0.1467400122
742	0.1466719935
743	0.146638245
744	0.1466170112
745	0.1465586185
746	0.146531932
747	0.1464942758
748	0.1464684837
749	0.1464289151
750	0.1463926381
751	0.1463403256
752	0.1462953062
753	0.1462705692
754	0.1462347163
755	0.1462134252
756	0.1461943131
757	0.1461407727
758	0.1460908371
759	0.146056271
760	0.1460285265
761	0.1459776241
762	0.1459528267
763	0.1459119604
764	0.1458504162
765	0.1457966978
766	0.1457492435
767	0.145704301
768	0.1456608994
769	0.1456230056
770	0.1455804122
771	0.1455469153
772	0.1455182284
773	0.1454839894
774	0.1454551745
775	0.1454086133
776	0.1453547211
777	0.145331815
778	0.1452659
779	0.1452388202
780	0.1451963703
781	0.1451695467
782	0.1451282036
783	0.1450853157
784	0.1450400502
785	0.1450075842
786	0.144927682
787	0.1448916325
788	0.1448368475
789	0.1448009836
790	0.1447591265
791	0.144724946
792	0.1446907001
793	0.1446667274
794	0.1446079409
795	0.1445665284
796	0.1445424459
797	0.1445087809
798	0.1444346933
799	0.1444036782
800	0.1443689897
801	0.144348659
802	0.1443025179
803	0.1442540785
804	0.1442163399
805	0.1441689934
806	0.1441418226
807	0.1441232165
808	0.1440944116
809	0.144065654
810	0.1440221055
811	0.1439682057
812	0.1439325408
813	0.1438827148
814	0.1438522413
815	0.1438216243
816	0.1437827975
817	0.1437507242
818	0.143700873
819	0.1436701893
820	0.143638724
821	0.1436124084
822	0.1435737954
823	0.1435551729
824	0.143512569
825	0.1434760812
826	0.1434311738
827	0.1433887822
828	0.1433428396
829	0.1433019662
830	0.1432446431
831	0.1432147244
832	0.1431690511
833	0.1431297112
834	0.1431003002
835	0.1430539307
836	0.1430256046
837	0.1429802385
838	0.1429410802
839	0.1429063569
840	0.1428682036
841	0.1428301767
842	0.1428098863
843	0.1427888551
844	0.1427526892
845	0.1427344257
846	0.1427041807
847	0.1426709776
848	0.1426035494
849	0.1425442596
850	0.1424988357
851	0.1424607484
852	0.1424224459
853	0.1423870167
854	0.1423544709
855	0.1423224206
856	0.1422769099
857	0.1422444073
858	0.1421948276
859	0.1421621044
860	0.1421368514
861	0.1421045472
862	0.1420648215
863	0.1420363497
864	0.1420115302
865	0.1419839914
866	0.1419371022
867	0.1418694225
868	0.1418303247
869	0.1418053109
870	0.1417717406
871	0.1417373324
872	0.1417041226
873	0.14165204
874	0.1416193199
875	0.1415718408
876	0.1415375469
877	0.1414853303
878	0.1414461602
879	0.1414036795
880	0.1413733525
881	0.1413114412
882	0.1412793405
883	0.1412421252
884	0.1412045814
885	0.1411550888
886	0.1411386495
887	0.1411054166
888	0.1410477618
889	0.1409945886
890	0.1409665112
891	0.1409360578
892	0.1409135644
893	0.1408818949
894	0.1408070793
895	0.140781189
896	0.1407346997
897	0.1407068716
898	0.1406368424
899	0.1406018364
900	0.1405693056
901	0.1405406048
902	0.1404973025
903	0.1404667068
904	0.1404369518
905	0.140398116
906	0.1403714762
907	0.1403419861
908	0.1403207725
909	0.1403027949
910	0.1402753008
911	0.1402358943
912	0.1401890717
913	0.1401557371
914	0.1401294347
915	0.1400904275
916	0.1400504295
917	0.1400232292
918	0.1400039703
919	0.1399700155
920	0.1399017853
921	0.1398663191
922	0.1398409825
923	0.1398123974
924	0.1397757938
925	0.1397552806
926	0.1397250696
927	0.1396916836
928	0.1396494987
929	0.1396213989
930	0.1395993256
931	0.1395812789
932	0.1395293134
933	0.1394988936
934	0.1394772985
935	0.1394511908
936	0.1394091821
937	0.1393727649
938	0.1393457838
939	0.13931065
940	0.1392673389
941	0.1392392506
942	0.1392015256
943	0.1391829177
944	0.1391566743
945	0.1391363693
946	0.1390903888
947	0.1390660431
948	0.1390336081
949	0.1390116479
950	0.1389773004
951	0.1389565273
952	0.1389279426
953	0.1388800737
954	0.1388495862
955	0.1388051071
956	0.1387769642
957	0.1387506881
958	0.1387153788
959	0.1386797261
960	0.1386381105
961	0.1385930032
962	0.1385644724
963	0.1385329094
964	0.1385129211
965	0.1384843904
966	0.13843972
967	0.1383962149
968	0.1383737148
969	0.1383322062
970	0.1382942669
971	0.1382677307
972	0.1382368433
973	0.1382043985
974	0.1381731575
975	0.1381446024
976	0.1381214922
977	0.138099523
978	0.138069031
979	0.1380326277
980	0.1379912185
981	0.1379664979
982	0.1379280626
983	0.1378761988
984	0.1378378758
985	0.137815865
986	0.137783017
987	0.137769559
988	0.1377556644
989	0.137727529
990	0.1377004664
991	0.1376670499
992	0.1376430687
993	0.1376080846
994	0.1375781492
995	0.1375419781
996	0.1375243839
997	0.1374944779
998	0.1374566566
999	0.1374201819
