iter	Passed	Remaining
0	173	173184
1	195	97371
2	216	71955
3	237	59102
4	256	51084
5	275	45703
6	295	41892
7	317	39333
8	335	36956
9	348	34525
10	362	32579
11	375	30895
12	388	29503
13	402	28315
14	414	27245
15	428	26371
16	440	25474
17	452	24708
18	466	24075
19	477	23418
20	488	22789
21	500	22253
22	512	21770
23	527	21458
24	542	21142
25	555	20809
26	567	20435
27	579	20125
28	593	19879
29	605	19591
30	619	19350
31	632	19129
32	646	18943
33	659	18728
34	670	18495
35	683	18290
36	696	18116
37	708	17924
38	719	17738
39	731	17557
40	743	17388
41	756	17246
42	768	17107
43	780	16957
44	792	16808
45	804	16676
46	818	16587
47	829	16447
48	842	16342
49	855	16245
50	867	16142
51	880	16049
52	891	15937
53	904	15845
54	915	15736
55	928	15651
56	940	15562
57	953	15480
58	965	15405
59	979	15345
60	992	15282
61	1002	15169
62	1013	15076
63	1024	14985
64	1037	14920
65	1049	14846
66	1060	14770
67	1073	14706
68	1085	14646
69	1098	14592
70	1109	14513
71	1120	14439
72	1134	14405
73	1147	14365
74	1160	14309
75	1170	14231
76	1181	14164
77	1193	14104
78	1205	14054
79	1218	14018
80	1233	13990
81	1244	13937
82	1257	13898
83	1270	13853
84	1283	13813
85	1295	13772
86	1309	13742
87	1322	13705
88	1335	13670
89	1349	13646
90	1362	13609
91	1376	13583
92	1387	13534
93	1400	13497
94	1413	13461
95	1424	13416
96	1437	13379
97	1449	13339
98	1461	13298
99	1473	13258
100	1486	13230
101	1499	13205
102	1511	13166
103	1524	13133
104	1536	13097
105	1550	13073
106	1564	13053
107	1576	13022
108	1590	12998
109	1604	12977
110	1616	12949
111	1630	12929
112	1642	12894
113	1656	12873
114	1669	12851
115	1684	12835
116	1697	12811
117	1711	12790
118	1723	12762
119	1737	12743
120	1749	12710
121	1762	12681
122	1773	12648
123	1785	12611
124	1797	12583
125	1809	12549
126	1821	12521
127	1834	12496
128	1846	12469
129	1859	12443
130	1872	12420
131	1883	12387
132	1896	12363
133	1909	12343
134	1922	12316
135	1933	12284
136	1946	12259
137	1958	12231
138	1970	12206
139	1981	12172
140	1993	12143
141	2006	12121
142	2018	12099
143	2032	12084
144	2046	12067
145	2059	12044
146	2071	12023
147	2084	11997
148	2096	11972
149	2108	11947
150	2120	11922
151	2133	11903
152	2146	11884
153	2157	11851
154	2168	11822
155	2180	11799
156	2191	11769
157	2204	11750
158	2216	11723
159	2228	11698
160	2240	11677
161	2254	11660
162	2267	11641
163	2279	11619
164	2290	11591
165	2302	11568
166	2316	11556
167	2329	11537
168	2342	11517
169	2355	11498
170	2369	11485
171	2383	11474
172	2396	11455
173	2409	11436
174	2420	11413
175	2431	11385
176	2445	11371
177	2459	11356
178	2472	11339
179	2486	11327
180	2499	11308
181	2511	11289
182	2524	11269
183	2536	11250
184	2548	11227
185	2562	11213
186	2574	11193
187	2585	11167
188	2597	11147
189	2609	11126
190	2622	11109
191	2635	11090
192	2647	11070
193	2659	11048
194	2670	11025
195	2683	11007
196	2695	10985
197	2706	10963
198	2718	10943
199	2731	10924
200	2745	10914
201	2758	10897
202	2770	10878
203	2785	10869
204	2798	10851
205	2810	10833
206	2824	10819
207	2837	10804
208	2850	10786
209	2862	10770
210	2875	10754
211	2888	10737
212	2900	10717
213	2913	10700
214	2926	10685
215	2939	10669
216	2952	10653
217	2964	10635
218	2974	10608
219	2986	10589
220	2998	10571
221	3012	10555
222	3024	10539
223	3037	10522
224	3048	10501
225	3060	10482
226	3072	10462
227	3086	10449
228	3099	10436
229	3113	10422
230	3125	10405
231	3136	10381
232	3148	10365
233	3161	10347
234	3172	10328
235	3183	10307
236	3195	10287
237	3208	10273
238	3222	10262
239	3234	10243
240	3247	10226
241	3260	10213
242	3276	10206
243	3289	10191
244	3302	10176
245	3316	10164
246	3331	10154
247	3345	10144
248	3359	10131
249	3371	10113
250	3382	10094
251	3395	10080
252	3409	10065
253	3421	10048
254	3435	10038
255	3449	10025
256	3461	10007
257	3474	9991
258	3486	9975
259	3497	9955
260	3509	9935
